1,900,0.012,4,0.00,0.5
1,900,0.016,4,0.00,0.5
1,900,0.02,4,0.00,0.5
1,900,0.025,4,0.00,0.5
1,900,0.03,4,0.00,0.5
1,900,0.04,4,0.00,0.5
1,900,0.05,4,0.00,0.5
1,900,0.01,4,0.00,0.55
1,900,0.012,4,0.00,0.55
1,900,0.016,4,0.00,0.55
1,900,0.02,4,0.00,0.55
1,900,0.025,4,0.00,0.55
1,900,0.03,4,0.00,0.55
1,900,0.04,4,0.00,0.55
1,900,0.05,4,0.00,0.55
1,900,0.008,4,0.00,0.6
1,900,0.01,4,0.00,0.6
1,900,0.012,4,0.00,0.6
1,900,0.016,4,0.00,0.6
1,900,0.02,4,0.00,0.6
1,900,0.025,4,0.00,0.6
1,900,0.03,4,0.00,0.6
1,900,0.04,4,0.00,0.6
1,600,0.006,4,0.00,0.65
1,600,0.008,4,0.00,0.65
1,600,0.01,4,0.00,0.65
1,600,0.012,4,0.00,0.65
1,600,0.016,4,0.00,0.65
1,600,0.02,4,0.00,0.65
1,600,0.025,4,0.00,0.65
1,600,0.03,4,0.00,0.65
1,600,0.005,4,0.00,0.7
1,600,0.006,4,0.00,0.7
1,600,0.008,4,0.00,0.7
1,600,0.01,4,0.00,0.7
1,600,0.012,4,0.00,0.7
1,600,0.016,4,0.00,0.7
1,600,0.02,4,0.00,0.7
1,600,0.025,4,0.00,0.7
1,600,0.004,4,0.00,0.75
1,600,0.005,4,0.00,0.75
1,600,0.006,4,0.00,0.75
1,600,0.008,4,0.00,0.75
1,600,0.01,4,0.00,0.75
1,600,0.012,4,0.00,0.75
1,600,0.016,4,0.00,0.75
1,600,0.02,4,0.00,0.75
1,100,0.003,4,0.00,0.8
1,100,0.004,4,0.00,0.8
1,100,0.005,4,0.00,0.8
1,100,0.006,4,0.00,0.8
1,100,0.008,4,0.00,0.8
1,100,0.01,4,0.00,0.8
1,100,0.012,4,0.00,0.8
1,300,0.002,4,0.00,0.85
1,300,0.0025,4,0.00,0.85
1,300,0.003,4,0.00,0.85
1,300,0.004,4,0.00,0.85
1,300,0.005,4,0.00,0.85
1,300,0.006,4,0.00,0.85
1,300,0.008,4,0.00,0.85
1,300,0.01,4,0.00,0.85
1,100,0.0013,4,0.00,0.9
1,100,0.0015,4,0.00,0.9
1,100,0.002,4,0.00,0.9
1,100,0.0025,4,0.00,0.9
1,100,0.003,4,0.00,0.9
1,100,0.004,4,0.00,0.9
1,100,0.005,4,0.00,0.9
1,100,0.006,4,0.00,0.9
1,100,0.0006,4,0.00,0.95
1,100,0.0008,4,0.00,0.95
1,100,0.001,4,0.00,0.95
1,100,0.0013,4,0.00,0.95
1,100,0.0015,4,0.00,0.95
1,100,0.002,4,0.00,0.95
1,100,0.0025,4,0.00,0.95
1,100,0.003,4,0.00,0.95
